firm,year,invest,market_value,capital_stock
Acheson,1990,347.9715,181.4985,39.9059
Acheson,1991,160.0227,74.0299,44.3099
Acheson,1992,324.7399,167.8211,40.8681
Acheson,1993,145.0187,74.5458,17.5292
Acheson,1994,198.9159,100.1137,27.7047
Acheson,1995,377.2428,199.1901,40.6698
Acheson,1996,364.5336,198.0128,14.6889
Acheson,1997,239.122,130.2571,6.9774
Acheson,1998,216.7979,112.68,25.9793
Acheson,1999,252.1625,133.2607,28.1353
Acheson,2000,116.5802,64.5527,5.5307
Acheson,2001,266.2146,144.5658,14.0273
Acheson,2002,60.8728,20.6722,42.3521
Acheson,2003,149.6649,68.1679,44.6149
Acheson,2004,334.828,172.487,33.7873
Bradley,1990,223.0217,117.4059,27.8498
Bradley,1991,165.5084,85.0275,31.9183
Bradley,1992,169.654,89.7737,19.5366
Bradley,1993,312.646,166.9409,22.0751
Bradley,1994,244.009,126.1985,32.2275
Bradley,1995,255.5853,141.761,11.7855
Bradley,1996,127.0882,63.1215,23.1124
Bradley,1997,352.9032,194.209,14.6752
Bradley,1998,155.4524,74.0756,44.3335
Bradley,1999,103.4345,43.6908,43.0283
Bradley,2000,343.4066,182.705,30.6374
Bradley,2001,122.4063,54.6434,46.7558
Bradley,2002,117.6824,52.4994,44.7826
Bradley,2003,229.3157,122.545,21.933
Bradley,2004,114.4553,63.1081,6.7126
Carlton,1990,226.4528,118.5743,19.4973
Carlton,1991,59.5896,24.5354,21.7483
Carlton,1992,105.3534,42.1206,48.5217
Carlton,1993,199.9554,97.0796,28.5683
Carlton,1994,168.4151,81.9579,31.5631
Carlton,1995,168.8887,83.9745,28.3594
Carlton,1996,335.8885,183.6523,11.7978
Carlton,1997,59.1817,20.9322,38.884
Carlton,1998,98.8749,44.6175,23.8507
Carlton,1999,60.156,22.5688,33.2808
Carlton,2000,222.7536,112.3406,37.6632
Carlton,2001,117.0019,55.7338,21.3407
Carlton,2002,175.5235,82.2911,47.6656
Carlton,2003,153.2395,81.2123,17.2186
Carlton,2004,210.6209,100.0061,49.1178
Dorset,1990,352.2818,181.3773,38.4245
Dorset,1991,198.0178,96.7969,44.5185
Dorset,1992,343.0528,186.0967,8.0922
Dorset,1993,232.4903,113.5127,47.7922
Dorset,1994,316.1929,165.087,35.4412
Dorset,1995,267.5561,133.332,48.7202
Dorset,1996,170.5515,91.6896,14.131
Dorset,1997,128.9897,58.3235,46.1959
Dorset,1998,95.3955,40.233,32.1701
Dorset,1999,247.0343,127.0433,34.6674
Dorset,2000,362.4372,193.0432,25.9628
Dorset,2001,250.5948,134.3407,13.275
Dorset,2002,189.0876,94.073,39.3814
Dorset,2003,276.5039,151.3981,10.0942
Dorset,2004,320.6863,164.3666,44.4961
Emery,1990,53.4629,28.3974,6.363
Emery,1991,128.634,65.4984,16.1856
Emery,1992,218.6169,122.07,6.7544
Emery,1993,109.6522,49.882,35.5043
Emery,1994,166.4376,75.9026,47.2254
Emery,1995,323.25,166.0857,34.6112
Emery,1996,116.9404,54.4255,30.8478
Emery,1997,328.0986,164.2996,48.2032
Emery,1998,66.0085,29.1277,20.2397
Emery,1999,93.9421,40.2891,33.1975
Emery,2000,163.7036,76.4699,43.8264
Emery,2001,100.6456,43.2448,39.5087
Emery,2002,116.892,55.5109,30.8139
Emery,2003,239.5241,129.6802,9.3311
Emery,2004,262.0144,133.7519,42.0748
Fairfax,1990,295.6298,149.9685,44.0273
Fairfax,1991,91.7541,49.0722,6.2016
Fairfax,1992,125.1229,58.6417,30.3669
Fairfax,1993,163.0588,88.2775,16.3749
Fairfax,1994,253.1131,138.3039,9.5495
Fairfax,1995,102.3593,44.0698,34.8101
Fairfax,1996,167.7448,87.8337,21.7276
Fairfax,1997,111.9852,58.7104,16.1334
Fairfax,1998,188.2325,102.3366,8.6689
Fairfax,1999,236.7811,124.2298,18.4862
Fairfax,2000,288.3333,157.3726,10.8986
Fairfax,2001,83.8774,43.5232,8.6568
Fairfax,2002,134.7254,68.464,18.7885
Fairfax,2003,239.7788,131.5862,13.4215
Fairfax,2004,330.2359,179.106,21.8918
